district_clean,state_clean,year,Tier1,Tier2,Tier3,Risk,Risk_norm,Risk_Category
adilabad,telangana,1981,0.309706757,0.381241345,0.0,0.0,0.0,Low Risk
adilabad,telangana,1982,0.28256053,0.381310051,0.0,0.0,0.0,Low Risk
adilabad,telangana,1983,0.324171626,0.380722621,0.0,0.0,0.0,Low Risk
adilabad,telangana,1984,0.296330735,0.379773231,0.0,0.0,0.0,Low Risk
adilabad,telangana,1985,0.313002772,0.378712565,0.0,0.0,0.0,Low Risk
adilabad,telangana,1986,0.285120678,0.377332386,0.0,0.0,0.0,Low Risk
adilabad,telangana,1987,0.289338502,0.375508512,0.0,0.0,0.0,Low Risk
adilabad,telangana,1988,0.3314615,0.373474945,0.0,0.0,0.0,Low Risk
adilabad,telangana,1989,0.312216519,0.371195855,0.0,0.0,0.0,Low Risk
adilabad,telangana,1990,0.334485794,0.3686274,0.0,0.0,0.0,Low Risk
adilabad,telangana,1991,0.289438078,0.365629119,0.0,0.0,0.0,Low Risk
adilabad,telangana,1992,0.285272716,0.360965287,0.0,0.0,0.0,Low Risk
adilabad,telangana,1993,0.309345413,0.35568595,0.0,0.0,0.0,Low Risk
adilabad,telangana,1994,0.319350723,0.349668276,0.0,0.0,0.0,Low Risk
adilabad,telangana,1995,0.312148584,0.341857889,0.0,0.0,0.0,Low Risk
adilabad,telangana,1996,0.290984525,0.331538104,0.0,0.0,0.0,Low Risk
adilabad,telangana,1997,0.288354428,0.322258913,0.0,0.0,0.0,Low Risk
adilabad,telangana,1998,0.316039468,0.31395315,0.0,0.0,0.0,Low Risk
adilabad,telangana,1999,0.312817834,0.311255383,0.0,0.0,0.0,Low Risk
adilabad,telangana,2000,0.30520429,0.307087434,0.0,0.0,0.0,Low Risk
adilabad,telangana,2001,0.320430335,0.301507847,0.0,0.0,0.0,Low Risk
adilabad,telangana,2002,0.286271605,0.301776634,0.0,0.0,0.0,Low Risk
adilabad,telangana,2003,0.304903772,0.302188712,0.0,0.0,0.0,Low Risk
adilabad,telangana,2004,0.288870546,0.303037089,0.0,0.0,0.0,Low Risk
adilabad,telangana,2005,0.32471055,0.303907885,0.0,0.0,0.0,Low Risk
adilabad,telangana,2006,0.323485959,0.304902221,0.0,0.0,0.0,Low Risk
adilabad,telangana,2007,0.312290118,0.306056853,0.0,0.0,0.0,Low Risk
adilabad,telangana,2008,0.292070001,0.308267478,0.0,0.0,0.0,Low Risk
adilabad,telangana,2009,0.28452823,0.309539465,0.0,0.0,0.0,Low Risk
adilabad,telangana,2010,0.347413904,0.31026643,0.0,0.0,0.0,Low Risk
adilabad,telangana,2011,0.304144399,0.311055718,0.0,0.0,0.0,Low Risk
adilabad,telangana,2012,0.315299811,0.30874731,0.0,0.0,0.0,Low Risk
adilabad,telangana,2013,0.332526867,0.307603876,0.0,0.0,0.0,Low Risk
adilabad,telangana,2014,0.295193103,0.308552124,0.0,0.0,0.0,Low Risk
adilabad,telangana,2015,0.303741523,0.308608166,0.0,0.0,0.0,Low Risk
adilabad,telangana,2016,0.337235423,0.305916239,0.0,0.0,0.0,Low Risk
adilabad,telangana,2017,0.315049521,0.299148194,0.355476124,0.316774311,0.748875209,High Risk
adilabad,telangana,2018,0.318716168,0.292268145,0.355476124,0.31548895,0.743677409,High Risk
adilabad,telangana,2019,0.335864875,0.287515708,0.355476124,0.320447458,0.763728849,High Risk
adilabad,telangana,2020,0.324187269,0.286342394,0.355476124,0.31530709,0.742941995,High Risk
adilabad,telangana,2021,0.334195907,0.286321339,0.355476124,0.319302123,0.759097291,High Risk
adilabad,telangana,2022,0.345590822,0.287444758,0.355476124,0.324309456,0.779346175,High Risk
adilabad,telangana,2023,0.310917566,0.288969182,0.355476124,0.311049924,0.725726674,High Risk
adilabad,telangana,2024,0.339442427,0.290707298,0.0,0.0,0.0,Low Risk
adilabad,telangana,2025,0.35667482,0.292434241,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1981,0.286284107,0.396034738,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1982,0.302570834,0.397414491,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1983,0.31275032,0.397852626,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1984,0.278053483,0.397840815,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1985,0.307766865,0.397803939,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1986,0.289694299,0.397561368,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1987,0.27263229,0.397015811,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1988,0.314404424,0.396403819,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1989,0.29233768,0.395716951,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1990,0.31424644,0.394946591,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1991,0.280762991,0.393941763,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1992,0.276033502,0.390685684,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1993,0.316352709,0.386941709,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1994,0.315057534,0.382609507,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1995,0.309593102,0.377138235,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1996,0.33463227,0.370077832,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1997,0.303903702,0.362678826,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1998,0.314094453,0.355162629,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,1999,0.319144838,0.353230029,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2000,0.31203377,0.348963585,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2001,0.310042464,0.341761782,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2002,0.284408492,0.34223723,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2003,0.311746707,0.342786709,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2004,0.297479306,0.343628139,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2005,0.290121937,0.344500083,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2006,0.28821275,0.345511726,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2007,0.305471979,0.346567141,0.0,0.0,0.0,Low Risk
agra,uttar pradesh,2008,0.324373939,0.347902962,0.0,0.0,0.0,Low Risk
